family,instance,algorithm,seed,cutoff,runtime_sec,cover_size,ref_value,rel_err,solution_file,trace_file
large,large1,Approx,1,2,0.16699687499999527,3307,3303,0.0012110202845897668,large1_Approx_2.sol,
large,large1,BnB,1,2,0.17910570799999448,3303,3303,0.0,large1_BnB_2.sol,large1_BnB_2.trace
large,large1,LS1,1,2,2.1586665000000096,3303,3303,0.0,large1_LS1_2_1.sol,large1_LS1_2_1.trace
large,large1,LS1,2,2,2.1729604580000057,3303,3303,0.0,large1_LS1_2_2.sol,large1_LS1_2_2.trace
large,large1,LS1,3,2,2.119041709000001,3304,3303,0.0003027550711474417,large1_LS1_2_3.sol,large1_LS1_2_3.trace
large,large1,LS1,4,2,2.1279223750000114,3303,3303,0.0,large1_LS1_2_4.sol,large1_LS1_2_4.trace
large,large1,LS1,5,2,2.1274047080000003,3303,3303,0.0,large1_LS1_2_5.sol,large1_LS1_2_5.trace
large,large1,LS1,6,2,2.114115041000005,3303,3303,0.0,large1_LS1_2_6.sol,large1_LS1_2_6.trace
large,large1,LS1,7,2,2.1173257500000062,3303,3303,0.0,large1_LS1_2_7.sol,large1_LS1_2_7.trace
large,large1,LS1,8,2,2.1164277080000033,3303,3303,0.0,large1_LS1_2_8.sol,large1_LS1_2_8.trace
large,large1,LS1,9,2,2.1258826250000027,3303,3303,0.0,large1_LS1_2_9.sol,large1_LS1_2_9.trace
large,large1,LS1,10,2,2.119596666999996,3303,3303,0.0,large1_LS1_2_10.sol,large1_LS1_2_10.trace
large,large1,LS1,11,2,2.1139182500000118,3303,3303,0.0,large1_LS1_2_11.sol,large1_LS1_2_11.trace
large,large1,LS1,12,2,2.115316290999999,3303,3303,0.0,large1_LS1_2_12.sol,large1_LS1_2_12.trace
large,large1,LS1,13,2,2.1124645000000015,3303,3303,0.0,large1_LS1_2_13.sol,large1_LS1_2_13.trace
large,large1,LS1,14,2,2.111530041000009,3304,3303,0.0003027550711474417,large1_LS1_2_14.sol,large1_LS1_2_14.trace
large,large1,LS1,15,2,2.1103376249999997,3303,3303,0.0,large1_LS1_2_15.sol,large1_LS1_2_15.trace
large,large1,LS1,16,2,2.110256665999998,3303,3303,0.0,large1_LS1_2_16.sol,large1_LS1_2_16.trace
large,large1,LS1,17,2,2.1046235000000024,3305,3303,0.0006055101422948834,large1_LS1_2_17.sol,large1_LS1_2_17.trace
large,large1,LS1,18,2,2.105846916999994,3303,3303,0.0,large1_LS1_2_18.sol,large1_LS1_2_18.trace
large,large1,LS1,19,2,2.1120448340000024,3303,3303,0.0,large1_LS1_2_19.sol,large1_LS1_2_19.trace
large,large1,LS1,20,2,2.1093520830000045,3303,3303,0.0,large1_LS1_2_20.sol,large1_LS1_2_20.trace
large,large1,LS2,1,2,2.113403875000003,3323,3303,0.006055101422948834,large1_LS2_2_1.sol,large1_LS2_2_1.trace
large,large1,LS2,2,2,2.110903792000002,3320,3303,0.0051468362095065095,large1_LS2_2_2.sol,large1_LS2_2_2.trace
large,large1,LS2,3,2,2.147011000000006,3323,3303,0.006055101422948834,large1_LS2_2_3.sol,large1_LS2_2_3.trace
large,large1,LS2,4,2,2.120099874999994,3322,3303,0.005752346351801393,large1_LS2_2_4.sol,large1_LS2_2_4.trace
large,large1,LS2,5,2,2.123121666000003,3323,3303,0.006055101422948834,large1_LS2_2_5.sol,large1_LS2_2_5.trace
large,large1,LS2,6,2,2.135089417000003,3323,3303,0.006055101422948834,large1_LS2_2_6.sol,large1_LS2_2_6.trace
large,large1,LS2,7,2,2.1229165000000023,3322,3303,0.005752346351801393,large1_LS2_2_7.sol,large1_LS2_2_7.trace
large,large1,LS2,8,2,2.1267804999999953,3324,3303,0.006357856494096276,large1_LS2_2_8.sol,large1_LS2_2_8.trace
large,large1,LS2,9,2,2.1531722499999972,3324,3303,0.006357856494096276,large1_LS2_2_9.sol,large1_LS2_2_9.trace
large,large1,LS2,10,2,2.158838457999991,3323,3303,0.006055101422948834,large1_LS2_2_10.sol,large1_LS2_2_10.trace
large,large1,LS2,11,2,2.1899943330000013,3321,3303,0.005449591280653951,large1_LS2_2_11.sol,large1_LS2_2_11.trace
large,large1,LS2,12,2,2.1419759169999963,3322,3303,0.005752346351801393,large1_LS2_2_12.sol,large1_LS2_2_12.trace
large,large1,LS2,13,2,2.1489511249999964,3322,3303,0.005752346351801393,large1_LS2_2_13.sol,large1_LS2_2_13.trace
large,large1,LS2,14,2,2.144602958000007,3320,3303,0.0051468362095065095,large1_LS2_2_14.sol,large1_LS2_2_14.trace
large,large1,LS2,15,2,2.3425926249999947,3322,3303,0.005752346351801393,large1_LS2_2_15.sol,large1_LS2_2_15.trace
large,large1,LS2,16,2,2.322628750000007,3322,3303,0.005752346351801393,large1_LS2_2_16.sol,large1_LS2_2_16.trace
large,large1,LS2,17,2,2.1188285000000064,3324,3303,0.006357856494096276,large1_LS2_2_17.sol,large1_LS2_2_17.trace
large,large1,LS2,18,2,2.1214728329999986,3323,3303,0.006055101422948834,large1_LS2_2_18.sol,large1_LS2_2_18.trace
large,large1,LS2,19,2,2.130911833000013,3320,3303,0.0051468362095065095,large1_LS2_2_19.sol,large1_LS2_2_19.trace
